Element ; Why did I use it? ; Place
H ; I am currently working on the hydrogenation of alkenes. And, well, H is everywhere! ; Hangzhou, Paris, Berlin, Tarragona
He ; It is not possible to cool large superconducting coils without liquid He. ; Berlin
Li ; Butyl lithium is a very powerful base! ; Hangzhou
C ; I am currently working on the vibrations between carbon monoxide and metallic surfaces. And, well, C is everywhere! ; Hangzhou, Paris, Berlin, Tarragona
N ; Infrared spectrometer works much better in liquid nitrogen ; Paris, Berlin, Tarragona
O ; I am currently working on the vibrations between carbon monoxide and metallic surfaces. And, well, O is everywhere! ; Hangzhou, Paris, Berlin, Tarragona
Na ; Adsorbed on MgO, Na increases its basicity ; Hangzhou, Paris
Mg ; Magnesium oxide is the solid I studied extensively, as a powder and as a thin film ; Paris, Berlin
Al ; Alumina is a good oxide support for platinum ; Tarragona
Si ; Magnesium silicate is the best catalyst for transesterification! ; Paris
P ; Magnesium phosphate converts 2-methylbut-3-yn-2-ol towards an acidic route ; Paris
Ar ; In a glove box, argon is the perfect atmosphere ; Paris, Berlin
K ; Adsorbed on MgO, K increases its basicity ; Paris
Ca ; Adsorbed on MgO, Ca increases its basicity ; Paris
Cr ; Cr3+ is paramagnetic and create defects in MgO ; Berlin
Ni ; Nickel can hydrogenate alkenes ; Tarragona
Cu ; Copper particle properties can be influenced by the support. And, you know, wires... ; Paris
Zn ; Zinc silicates are good catalyst for transesterification ; Paris
Se ; Zinc selenate does not adsorb too much in infra-red ; Tarragona
Mo ; A good support for MgO ; Berlin
Pd ; A good catalyst for alkenes hydrogenation and to adsorb CO ; Tarragona
Ag ; A good support for MgO ; Berlin
W ; Type C thermocouple is not magnetic. ; Berlin
Re ; Type C thermocouple is not magnetic. ; Berlin
Pt ; A good catalyst for alkenes hydrogenation and to adsorb CO ; Tarragona
Au ; Gold particles are very interesting for catalysis ; Paris
Po ; No, I didn't use it, but I did a lot of outreach about the life of Marie Skłodowska Curie ; Paris
Ra ; No, I didn't use it, but I did a lot of outreach about the life of Marie Skłodowska Curie ; Paris
